Cód Insumo Representativo,Cód insumo,Descrição do Insumo,Unidade de  Cálculo,COEFICIENTE,CATEGORIA,MACRO CLASSE,VíNCULO
1,1,ACETILENO (RECARGA PARA CILINDRO DE CONJUNTO OXICORTE GRANDE),KG,,REPRESENTATIVO,MATERIAL,NACIONAL CAIXA
1,2,"OXIGENIO, RECARGA PARA CILINDRO DE CONJUNTO OXICORTE GRANDE",M3,"0,2191780",REPRESENTADO,MATERIAL,NACIONAL CAIXA
12,10,BALDE PLASTICO CAPACIDADE *10* L,UN,"1,0223048",REPRESENTADO,MATERIAL,NACIONAL CAIXA
12,12,"ESCOVA DE ACO, COM CABO, *4  X 15* FILEIRAS DE CERDAS",UN,,REPRESENTATIVO,MATERIAL,NACIONAL CAIXA
12,13,ESTOPA,KG,"1,5399628",REPRESENTADO,MATERIAL,NACIONAL CAIXA
12,13261,FLANELA *30 X 40* CM,UN,"0,2369888",REPRESENTADO,MATERIAL,NACIONAL CAIXA
12,38400,VASSOURA 40 CM COM CABO,UN,"1,6124535",REPRESENTADO,MATERIAL,NACIONAL CAIXA
12,38401,RODO PARA CHAO 40 CM COM CABO,UN,"1,1524164",REPRESENTADO,MATERIAL,NACIONAL CAIXA
12,38402,"PA DE LIXO PLASTICA, CABO LONGO",UN,"0,9684015",REPRESENTADO,MATERIAL,NACIONAL CAIXA
55,55,"ADAPTADOR DE COMPRESSAO EM POLIPROPILENO (PP), PARA TUBO EM PEAD, 20 MM X 1/2"", PARA LIGACAO PREDIAL DE AGUA (NTS 179)",UN,,REPRESENTATIVO,MATERIAL,NACIONAL CAIXA
55,60,"ADAPTADOR PVC, COM REGISTRO, PARA PEAD, 20 MM X 3/4"", PARA LIGACAO PREDIAL DE AGUA",UN,"1,2982142",REPRESENTADO,MATERIAL,NACIONAL CAIXA
55,61,"ADAPTADOR DE COMPRESSAO EM POLIPROPILENO (PP), PARA TUBO EM PEAD, 20 MM X 3/4"", PARA LIGACAO PREDIAL DE AGUA (NTS 179)",UN,"0,9464285",REPRESENTADO,MATERIAL,NACIONAL CAIXA
55,62,"ADAPTADOR DE COMPRESSAO EM POLIPROPILENO (PP), PARA TUBO EM PEAD, 32 MM X 1"", PARA LIGACAO PREDIAL DE AGUA (NTS 179)",UN,"1,9607142",REPRESENTADO,MATERIAL,NACIONAL CAIXA
55,64,"UNIAO EM POLIPROPILENO (PP), PARA TUBO EM PEAD, 20 MM - LIGACAO PREDIAL DE AGUA",UN,"1,1428571",REPRESENTADO,MATERIAL,NACIONAL CAIXA
55,37413,"COTOVELO/JOELHO COM ADAPTADOR, 90 GRAUS, EM POLIPROPILENO, PN 16, PARA TUBOS PEAD, 20 MM X 1/2"" - LIGACAO PREDIAL DE AGUA",UN,"0,9125000",REPRESENTADO,MATERIAL,NACIONAL CAIXA
55,37414,"COTOVELO/JOELHO COM ADAPTADOR, 90 GRAUS, EM POLIPROPILENO, PN 16, PARA TUBOS PEAD, 20 MM X 3/4"" - LIGACAO PREDIAL DE AGUA",UN,"1,0357142",REPRESENTADO,MATERIAL,NACIONAL CAIXA
55,37415,"COTOVELO/JOELHO COM ADAPTADOR, 90 GRAUS, EM POLIPROPILENO, PN 16, PARA TUBOS PEAD, 32 MM X 1"" - LIGACAO PREDIAL DE AGUA",UN,"1,8821428",REPRESENTADO,MATERIAL,NACIONAL CAIXA
55,37416,"COTOVELO/JOELHO 90 GRAUS, EM POLIPROPILENO, PN 16, PARA TUBOS PEAD, 20 X 20 MM - LIGACAO PREDIAL DE AGUA",UN,"0,8535714",REPRESENTADO,MATERIAL,NACIONAL CAIXA
55,37417,"COTOVELO/JOELHO 90 GRAUS, EM POLIPROPILENO, PN 16, PARA TUBOS PEAD, 32 X 32 MM - LIGACAO PREDIAL DE AGUA",UN,"1,2267857",REPRESENTADO,MATERIAL,NACIONAL CAIXA
55,37418,"COLAR DE TOMADA EM POLIPROPILENO, PP, COM PARAFUSOS, PARA PEAD, 63 X 1/2"" - LIGACAO PREDIAL DE AGUA",UN,"3,9803571",REPRESENTADO,MATERIAL,NACIONAL CAIXA
